awardYear,category,categoryFullName,sortOrder,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2014,Peace,The Nobel Peace Prize,2,"$8,000,000","$8,379,888","October 10, 2014",received,for their struggle against the suppression of children and young people and for the right of all children to education,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2014,914,Malala Yousafzai,Malala Yousafzai,Malala,Yousafzai,Malala Yousafzai,,female,http://masterdataapi.nobelprize.org/2/laureate/914,"July 12, 1997",Mingora,Mingora,Asia,Pakistan,Pakistan,"Mingora, Pakistan",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
2011,Peace,The Nobel Peace Prize,3,"$10,000,000","$10,545,557","October 7, 2011",received,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,871,Tawakkol Karman,Tawakkol Karman,Tawakkol,Karman,Tawakkol Karman,,female,http://masterdataapi.nobelprize.org/2/laureate/871,"February 7, 1979",Ta'izz,Ta'izz,Asia,Yemen,Yemen,"Ta'izz, Yemen",,,,,,,,,,,,,,,,,,Individual,Yemen,,,,,
2019,Peace,The Nobel Peace Prize,1,"$9,000,000","$9,000,000","October 11, 2019",received,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019,981,Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Ahmed Ali,Abiy Ahmed Ali,,male,http://masterdataapi.nobelprize.org/2/laureate/981,"August 15, 1976",Beshasha,Beshasha,Africa,Ethiopia,Ethiopia,"Beshasha, Ethiopia",,,,,,,,,,,,,,,,,,Individual,,,,,,
2010,Physics,The Nobel Prize in Physics,2,"$10,000,000","$10,819,388","October 5, 2010",received,for groundbreaking experiments regarding the two-dimensional material graphene,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2010,850,Konstantin Novoselov,Konstantin Novoselov,Konstantin,Novoselov,Konstantin Novoselov,,male,http://masterdataapi.nobelprize.org/2/laureate/850,"August 23, 1974",Nizhny Tagil,Nizhny Tagil,Europe,Russia,Russia,"Nizhny Tagil, Russia",,,,,,,,,,,,,,,,,,Individual,,,"University of Manchester, Manchester, United Kingdom",,,
2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,"$9,000,000","$9,000,000","October 14, 2019",received,for their experimental approach to alleviating global poverty,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019,983,Esther Duflo,Esther Duflo,Esther,Duflo,Esther Duflo,,female,http://masterdataapi.nobelprize.org/2/laureate/983,"October 25, 1972",Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
2011,Peace,The Nobel Peace Prize,2,"$10,000,000","$10,545,557","October 7, 2011",received,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,870,Leymah Gbowee,Leymah Gbowee,Leymah,Gbowee,Leymah Gbowee,,female,http://masterdataapi.nobelprize.org/2/laureate/870,"February 1, 1972",Monrovia,Monrovia,Africa,Liberia,Liberia,"Monrovia, Liberia",,,,,,,,,,,,,,,,,,Individual,Liberia,,,,,
2011,Physics,The Nobel Prize in Physics,3,"$10,000,000","$10,545,557","October 4, 2011",received,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011,866,Adam G. Riess,Adam G. Riess,Adam G.,Riess,Adam G. Riess,,male,http://masterdataapi.nobelprize.org/2/laureate/866,"December 16, 1969","Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,,,,,,,,Individual,,,"Johns Hopkins University, Baltimore, MD, USA","Space Telescope Science Institute, Baltimore, MD, USA",,
2011,Physics,The Nobel Prize in Physics,2,"$10,000,000","$10,545,557","October 4, 2011",received,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011,865,Brian P. Schmidt,Brian P. Schmidt,Brian P.,Schmidt,Brian P. Schmidt,,male,http://masterdataapi.nobelprize.org/2/laureate/865,"February 24, 1967","Missoula, MT","Missoula, MT",North America,USA,USA,"Missoula, MT, USA",,,,,,,,,,,,,,,,,,Individual,,,"Australian National University, Weston Creek, Australia",,,
2019,Physics,The Nobel Prize in Physics,3,"$9,000,000","$9,000,000","October 8, 2019",received,for the discovery of an exoplanet orbiting a solar-type star,for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2019,975,Didier Queloz,Didier Queloz,Didier,Queloz,Didier Queloz,,male,http://masterdataapi.nobelprize.org/2/laureate/975,"February 23, 1966",Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",,,,,,,,,,,,,,,,,,Individual,,,"University of Geneva, Geneva, Switzerland","University of Cambridge, Cambridge, United Kingdom",,
2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,3,"$9,000,000","$9,000,000","October 14, 2019",received,for their experimental approach to alleviating global poverty,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019,984,Michael Kremer,Michael Kremer,Michael,Kremer,Michael Kremer,,male,http://masterdataapi.nobelprize.org/2/laureate/984,"November 12, 1964","New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,,,,,,,,Individual,,,"Harvard University, Cambridge, MA, USA",,,
